,title,company,salary,summary
0,Data Analyst,XLN Telecom,"£45,000 a year",You will be an experienced analyst or data scientist who enjoys digging into data and understanding how things interact and what drives different actions.
1,Assistant Data Analyst - VA343,HCML,"£24,000 - £32,000 a year",Responsible for providing accurate data & reports to customers.Identify and extract data to support future machine learning opportunities.
2,Excel Reporting Analyst,eCourier,"From £27,000 a year","Collecting of data from different data sources.The ability to analyse, model and interpret data.Continuously improving systems / processes and data handling…"
3,Data Entry Analyst (Malay),mmi Analytics,"Up to £18,500 a year","The ability to analyse and interpret data according to the MMI methodology.Computer proficient with solid Microsoft Office skills, particularly Excel."
4,Research Analyst,Chambers & Partners,"£25,000 a year",Interviewing in-house counsel and other third-party experts by telephone or via an online questionnaire.Analysing the data collected during the research phase…
5,Graduate Data Analyst Intern - NHS,Inspiring Interns,"£24,000 a year",The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
6,Junior Data Analyst,Robert Half,£12 - £15 an hour,"Robert Half are partnering with a global consultancy who are looking to recruit at Junior Data Analyst with strong experience around CSV, paying £12-£15 an hour…"
7,Data Analyst - 55K,BCT Resourcing,"£50,000 - £55,000 a year",Oliver James are currently partnered with a well-established reinsurer business that need to hire a data analyst on a permanent basis.
8,"Data Analyst, PowerBI, SQL, Healthcare, Remote working",Corriculo,"£35,000 - £45,000 a year","Have strong data analysis skills, including data mining, data transformation, data manipulation and reporting.Matched company pension up to 8%."
9,Data Analyst Apprentice,QA Apprenticeships,"£17,000 - £19,000 a year","Internal teams who own, create and access data.The Data Apprentice will be expected to pick up, manage and deliver specific pieces of work across the data and…"
10,Data Analyst,Victoria and Albert Museum,"£40,000 - £44,000 a year","This is a fixed term role for 8 months, focused on delivering all data migration requirements for the project to replace the existing Retail (NAV 2013) and…"
11,Analyst,NHS England and NHS Improvement,"£40,057 - £45,839 a year",The role will work within the Improvement Analytics group (and as part of the wider data & analytics community across the organisation) to agree statistical…
12,Data Analyst,Uniting People,£400 - £420 a day,"_• Acquire data from primary or secondary data sources and maintain databases/data systems_._• Develop and implement databases, data collection systems, data…"
13,Data Analyst - Supply Chain,Burberry,,Strong data management and analytical skills.Supporting the broader traceability programme team on data requirements and analysis.
14,Data & Insights Analyst,Human Fertilisation and Embryology Authority,"£35,829 a year","They champion use of our data internally to inform policy decisions to improve the way we regulate, as well as externally through publications, public enquiries…"
15,Data Analyst,XLN Telecom,"£45,000 a year",You will be an experienced analyst or data scientist who enjoys digging into data and understanding how things interact and what drives different actions.
16,Data Analyst,OpSec Security,,"Perform data quality analysis and identify trends, ensuring data integrity.Ability to identify and communicate trends through data and data-driven visuals."
17,Assistant Data Analyst - VA343,HCML,"£24,000 - £32,000 a year",Responsible for providing accurate data & reports to customers.Identify and extract data to support future machine learning opportunities.
18,Excel Reporting Analyst,eCourier,"From £27,000 a year","Collecting of data from different data sources.The ability to analyse, model and interpret data.Continuously improving systems / processes and data handling…"
19,Data Entry Analyst (Malay),mmi Analytics,"Up to £18,500 a year","The ability to analyse and interpret data according to the MMI methodology.Computer proficient with solid Microsoft Office skills, particularly Excel."
20,Graduate Data Analyst Intern - NHS,Inspiring Interns,"£24,000 a year",The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
21,Research Analyst,Chambers & Partners,"£25,000 a year",Interviewing in-house counsel and other third-party experts by telephone or via an online questionnaire.Analysing the data collected during the research phase…
22,Data Analyst Apprentice,QA Apprenticeships,"£17,000 - £19,000 a year","Internal teams who own, create and access data.The Data Apprentice will be expected to pick up, manage and deliver specific pieces of work across the data and…"
23,Junior Data Analyst,Robert Half,£12 - £15 an hour,"Robert Half are partnering with a global consultancy who are looking to recruit at Junior Data Analyst with strong experience around CSV, paying £12-£15 an hour…"
24,Data Analyst,Urban Empire Recruitment,"£50,000 - £60,000 a year",Contribute to building our data pipeline by integrating data into BigQuery.Analyse operational data to improve processes.
25,Data Analyst,Victoria and Albert Museum,"£40,000 - £44,000 a year","This is a fixed term role for 8 months, focused on delivering all data migration requirements for the project to replace the existing Retail (NAV 2013) and…"
26,Analyst,NHS England and NHS Improvement,"£40,057 - £45,839 a year",The role will work within the Improvement Analytics group (and as part of the wider data & analytics community across the organisation) to agree statistical…
27,"Data Analyst, PowerBI, SQL, Healthcare, Remote working",Corriculo,"£35,000 - £45,000 a year","Have strong data analysis skills, including data mining, data transformation, data manipulation and reporting.Matched company pension up to 8%."
28,Data Analyst - 55K,BCT Resourcing,"£50,000 - £55,000 a year",Oliver James are currently partnered with a well-established reinsurer business that need to hire a data analyst on a permanent basis.
29,Data Analyst,Uniting People,£400 - £420 a day,"_• Acquire data from primary or secondary data sources and maintain databases/data systems_._• Develop and implement databases, data collection systems, data…"
30,Data Analyst,XLN Telecom,"£45,000 a year",You will be an experienced analyst or data scientist who enjoys digging into data and understanding how things interact and what drives different actions.
31,Excel Reporting Analyst,eCourier,"From £27,000 a year","Collecting of data from different data sources.The ability to analyse, model and interpret data.Continuously improving systems / processes and data handling…"
32,Data Entry Analyst (Malay),mmi Analytics,"Up to £18,500 a year","The ability to analyse and interpret data according to the MMI methodology.Computer proficient with solid Microsoft Office skills, particularly Excel."
33,Assistant Data Analyst - VA343,HCML,"£24,000 - £32,000 a year",Responsible for providing accurate data & reports to customers.Identify and extract data to support future machine learning opportunities.
34,Graduate Data Analyst Intern - NHS,Inspiring Interns,"£24,000 a year",The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
35,Data Analyst Apprentice,QA Apprenticeships,"£17,000 - £19,000 a year","Internal teams who own, create and access data.The Data Apprentice will be expected to pick up, manage and deliver specific pieces of work across the data and…"
36,Research Analyst,Chambers & Partners,"£25,000 a year",Interviewing in-house counsel and other third-party experts by telephone or via an online questionnaire.Analysing the data collected during the research phase…
37,Junior Data Analyst,Robert Half,£12 - £15 an hour,"Robert Half are partnering with a global consultancy who are looking to recruit at Junior Data Analyst with strong experience around CSV, paying £12-£15 an hour…"
38,Data Analyst,Urban Empire Recruitment,"£50,000 - £60,000 a year",Contribute to building our data pipeline by integrating data into BigQuery.Analyse operational data to improve processes.
